name,distance_from_earth,planet_mass,planet_type,planet_radius,distance_from_their_sun,orbital_period,gravity,orbital_speed,specifications
HIP 41378 f,348,74.0474,Gas Giant,10.192,Unknown,3 years,6.999737846,377.8487908,['gravity']
HIP 4845 b,69,14.4,Neptune-like,3.8864,0.176 AU,34.2 days,9.361776924,559.5824128,['gravity']
HIP 48714 b,34,22.9,Neptune-like,5.1072,0.112 AU,17.8 days,8.621057523,684.1880982,['gravity']
HIP 5158 b,169,451.276,Gas Giant,13.552,0.89 AU,345.7 days,24.12827325,279.9420392,"['gravity', 'goldilock']"
HIP 5158 c,169,4779.712,Gas Giant,12.208,7.7 AU,24.7 years,314.9223468,92.87063227,['speed']
HIP 54373 b,61,8.62,Neptune-like,2.8672,0.063 AU,7.8 days,10.29632117,878.2606838,['gravity']
HIP 54373 c,61,12.44,Neptune-like,3.5616,0.099 AU,15.1 days,9.629880242,712.9116998,['gravity']
HIP 57274 b,84,6.3566,Neptune-like,2.3968,0.07 AU,8.1 days,10.86555921,939.7027892,['gravity']
HIP 57274 c,84,129.986556,Gas Giant,14.224,0.178 AU,32 days,6.308785204,604.8497685,['gravity']
HIP 57274 d,84,167.38526,Gas Giant,14.224,1.01 AU,431.7 days,8.123898996,254.3998318,"['gravity', 'goldilock']"
HIP 63242 b,513,2917.404,Gas Giant,12.544,0.565 AU,124.6 days,182.0603086,493.0692289,['goldilock']
HIP 65407 b,181,136.0184,Gas Giant,14.336,0.177 AU,28.1 days,6.498789475,684.927244,['gravity']
HIP 65407 c,181,249.1552,Gas Giant,13.888,0.316 AU,67.3 days,12.68473303,510.5632051,['gravity']
HIP 65426 b,363,2860.2,Gas Giant,16.8,92.0 AU,630.7 years,99.51043623,43.45598783,"['gravity', 'speed']"
HIP 65891 b,444,1906.8,Gas Giant,12.768,2.81 AU,3 years,114.8550741,279.0420768,[]
HIP 65 A b,202,1021.0914,Gas Giant,22.736,0.01782 AU,1 days,19.39667497,1937.694,['gravity']
HIP 67522 b,415,72.4584,Gas Giant,10.0576,Unknown,7 days,7.033812909,276.8134286,['gravity']
HIP 67537 b,367,3527.58,Gas Giant,12.432,4.91 AU,7 years,224.1226041,208.9623686,[]
HIP 67851 b,215,438.564,Gas Giant,13.552,0.46 AU,88.9 days,23.44860358,562.6438362,"['gravity', 'goldilock']"
HIP 67851 c,215,2002.14,Gas Giant,12.768,3.82 AU,5.8 years,120.5978278,196.2094858,['speed']
HIP 70849 b,79,2860.2,Gas Giant,12.544,20.25 AU,47.5 years,178.4904987,127.0036049,['speed']
HIP 71135 b,106,18.8,Neptune-like,4.5472,0.335 AU,87.2 days,8.928130467,417.7397638,['gravity']
HIP 74890 b,298,762.72,Gas Giant,13.216,2.1 AU,2.3 years,42.88010754,272.0045,['gravity']
HIP 78530 b,511,7309.4,Gas Giant,11.984,740.0 AU,12738.7 years,499.768546,17.30578246,['speed']
HIP 79098 AB b,477,6514.9,Gas Giant,12.096,345.0 AU,3311 years,437.23507,31.0416319,['speed']
HIP 79431 b,47,667.38,Gas Giant,13.328,0.36 AU,111.7 days,36.89215382,350.4506118,['gravity']
HIP 8541 b,550,1747.9,Gas Giant,12.768,2.8 AU,4.3 years,105.283818,193.9877054,['speed']
HIP 91258 b,150,346.402,Gas Giant,13.776,0.06 AU,5.1 days,17.9235864,1279.259259,['gravity']
HIP 97233 b,335,6356,Gas Giant,12.096,2.55 AU,2.9 years,426.5708,261.9550727,[]
HN Pegasi b,59,6991.18686,Gas Giant,11.7712,773.0 AU,20503.2 years,495.4504462,11.23162193,['speed']
HR 2562 b,111,9534,Gas Giant,12.432,20.3 AU,80.3 years,605.7367679,75.31216335,['speed']
HR 5183 b,103,1026.494,Gas Giant,13.104,18.0 AU,74 years,58.70018062,72.46451931,"['gravity', 'speed']"
HR 810 b,57,721.406,Gas Giant,13.328,0.92 AU,302.8 days,39.87866151,330.3767308,"['gravity', 'goldilock']"
HR 858 b,104,5,Super Earth,2.085,0.048,3.6,11.29402324,1449.82716,"['gravity', 'planet_type']"
HR 858 c,104,4.42,Super Earth,1.939,0.0674,6,11.54402989,1221.479383,"['gravity', 'planet_type']"
HR 858 d,104,5.32,Neptune-like,2.164,0.1027 AU,11.2 days,11.15547098,997.079795,['gravity']
HR 8799 b,129,2224.6,Gas Giant,13.44,68.0 AU,465.8 years,120.9328218,43.49046577,['speed']
HR 8799 c,129,3178,Gas Giant,13.44,38.0 AU,189 years,172.761174,59.89718645,['speed']
HR 8799 d,129,3178,Gas Giant,13.44,24.0 AU,101.4 years,172.761174,70.51116935,['speed']
HR 8799 e,129,3178,Gas Giant,13.104,16.4 AU,57 years,181.7343053,85.71436709,['speed']
HU Aquarii AB b,627,1875.02,Gas Giant,12.768,3.6 AU,6.5 years,112.9408229,164.9961363,['speed']
HU Aquarii AB c,627,1430.1,Gas Giant,12.88,5.4 AU,12 years,84.64970945,134.0593607,"['gravity', 'speed']"
HW Virginis b,590,4602.468584,Gas Giant,12.208,4.69 AU,12.7 years,303.2442556,110.0154684,['speed']
IC 4651 9122 b,2869,2002.14,Gas Giant,12.768,2.038 AU,2 years,120.5978278,303.5699746,[]
Iota Draconis b,103,2802.996,Gas Giant,12.544,1.275 AU,1.4 years,174.9206887,271.310611,['goldilock']
K2-100 b,620,12.6,Neptune-like,3.584,0.0296 AU,1.7 days,9.632196513,1893.303704,['gravity']
K2-101 b,618,4.66,Super Earth,2,Unknown,14.7 days,11.43975482,218.9534895,"['gravity', 'planet_type']"
K2-102 b,617,2.24,Super Earth,1.3,Unknown,9.9 days,13.01523772,325.1127572,"['gravity', 'planet_type']"
K2-104 b,620,4.5,Super Earth,1.96,0.023,2,11.5024714,1250.475926,"['gravity', 'planet_type']"
K2-105 b,650,30,Neptune-like,3.3712,0.0796 AU,8.3 days,25.9204782,1042.827488,['gravity']
K2-107 b,2273,266.952,Gas Giant,15.9712,0.0475 AU,3.3 days,10.2765863,1565.154321,['gravity']
K2-108 b,1582,59.393642,Gas Giant,5.3312,0.0581 AU,4.7 days,20.52016258,1344.174862,['gravity']
K2-10 b,895,27,Neptune-like,3.8416,0.137 AU,19.3 days,17.9651261,771.8639417,['gravity']
K2-110 b,381,16.7,Super Earth,2.5536,0.1027,13.9,25.14788832,803.4024247,"['gravity', 'planet_type']"
K2-111 b,657,8.6,Super Earth,1.9,0.0621,5.4,23.39279099,1250.475926,"['gravity', 'planet_type']"
K2-113 b,2119,409.962,Gas Giant,12.1296,0.0642 AU,5.8 days,27.36159661,1203.606513,['gravity']
K2-114 b,1581,587.93,Gas Giant,10.6624,0.0954 AU,11.4 days,50.78161053,909.9573099,['gravity']
K2-115 b,1365,266.952,Gas Giant,12.0512,0.143 AU,20.3 days,18.04942546,765.9801131,['gravity']
K2-116 b,161,0.257,Terrestrial,0.69,0.048,4.7,5.300608554,1110.50591,"['gravity', 'planet_type']"
K2-117 b,333,4.78,Super Earth,2.03,0.0189,1.3,11.39007574,1580.869231,"['gravity', 'planet_type']"
K2-117 c,333,4.9,Super Earth,2.06,0.0492,5.4,11.33841714,990.7152263,"['gravity', 'planet_type']"
K2-118 b,1059,6.99,Neptune-like,2.5424,0.245 AU,50.9 days,10.61891653,523.3904533,['gravity']
K2-119 b,1206,6.94,Neptune-like,2.5312,0.0698 AU,7.7 days,10.63646556,985.6941799,['gravity']
K2-11 b,1084,44.492,Gas Giant,7.5488,0.2257 AU,39.9 days,7.666848497,615.0864476,['gravity']
K2-120 b,944,4.7,Super Earth,2.01,0.078,9.6,11.42343025,883.4884259,"['gravity', 'planet_type']"
K2-121 b,556,43.8564,Gas Giant,7.4928,0.0525 AU,5.2 days,7.670708685,1097.825855,['gravity']
K2-122 b,235,1.92,Super Earth,1.21,0.0285,2.2,12.87719521,1408.638889,"['gravity', 'planet_type']"
K2-123 b,530,8.05,Neptune-like,2.7552,0.1649 AU,31 days,10.41310894,578.4108841,['gravity']
K2-124 b,458,8.75,Neptune-like,2.9008,0.049 AU,6.4 days,10.21088231,832.5179398,['gravity']
K2-125 b,406,5.39,Neptune-like,2.18,0.121 AU,21.8 days,11.13695768,603.5404349,['gravity']
K2-126 b,337,4.54,Super Earth,1.97,0.0656,7.4,11.48720024,963.9391391,"['gravity', 'planet_type']"
K2-127 b,2362,53.0726,Gas Giant,8.3664,0.0411 AU,3.6 days,7.445329219,1241.414506,['gravity']
K2-128 b,375,2.6,Super Earth,1.42,0.056,5.7,12.66156679,1068.293697,"['gravity', 'planet_type']"
K2-129 b,91,1.12,Super Earth,1.04,0.057,8.2,10.16815447,755.8550136,"['gravity', 'planet_type']"
K2-12 b,1074,6.04,Neptune-like,2.3296,0.0802 AU,8.3 days,10.92861218,1050.687996,['gravity']
K2-130 b,386,2.1,Super Earth,1.25,0.032,2.5,13.19745105,1391.834074,"['gravity', 'planet_type']"
K2-131 b,501,6.3,Super Earth,1.7,0.0095,0.4,21.40590028,2582.50463,"['gravity', 'planet_type']"
K2-132 b,2024,155.722,Gas Giant,14.56,0.0916 AU,9.2 days,7.213034578,1082.642673,['gravity']
K2-133 b,245,2.36,Super Earth,1.34,0.03194,3.1,12.90604567,1120.342246,"['gravity', 'planet_type']"
K2-133 c,245,3.2,Super Earth,1.603,0.04341,4.9,12.22851512,963.3213832,"['gravity', 'planet_type']"
K2-133 d,245,4.67,Super Earth,2.003,0.07487,11,11.42998797,740.1038148,"['gravity', 'planet_type']"
K2-133 e,245,3.64,Super Earth,1.73,0.1346,26.6,11.94262976,550.2257588,"['gravity', 'planet_type']"
K2-136 b,194,0.937,Terrestrial,0.99,Unknown,8 days,9.387717085,1829.500648,"['gravity', 'planet_type']"
K2-136 c,194,8.8,Neptune-like,2.912,0.11728 AU,17.3 days,10.19038805,737.1491158,['gravity']
K2-136 d,194,2.7,Super Earth,1.45,Unknown,25.6 days,12.61010059,498.1515509,"['gravity', 'planet_type']"
K2-137 b,323,158.9,Terrestrial,0.89,0.0058 AU,0.2 days,1969.856887,3153.374074,['planet_type']
K2-138 b,597,3.09,Super Earth,1.57,0.0338,2.4,12.30977077,1531.379938,"['gravity', 'planet_type']"
K2-138 c,597,6.9,Neptune-like,2.52,0.04454 AU,3.6 days,10.66937059,1345.318786,['gravity']
K2-138 d,597,7.56,Neptune-like,2.6544,0.05883 AU,5.4 days,10.53609916,1184.629609,['gravity']
K2-138 e,597,10.8,Neptune-like,3.2928,0.07807 AU,8.3 days,9.781013099,1022.783191,['gravity']
K2-138 f,597,8.3,Neptune-like,2.8112,0.1043 AU,12.8 days,10.31300897,886.0369502,['gravity']
K2-139 b,504,122.9886,Gas Giant,9.1056,0.1796 AU,28.4 days,14.56593986,687.6468962,['gravity']
K2-13 b,1128,4.23,Super Earth,1.89,0.2114,39.9,11.62806766,576.1155296,"['gravity', 'planet_type']"
K2-140 b,1114,323.8382,Gas Giant,12.2416,0.0687 AU,6.6 days,21.21985925,1131.853704,['gravity']
K2-141 b,202,5.08,Super Earth,1.51,0.00716,0.3,21.87764691,2595.190617,"['gravity', 'planet_type']"
K2-141 c,202,7.4,Neptune-like,6.9888,Unknown,7.7 days,1.487706588,101.1113228,"['gravity', 'speed']"
K2-146 b,259,5.77,Super Earth,2.05,0.0259,2.6,13.48214154,1083.188177,"['gravity', 'planet_type']"
K2-146 c,259,7.49,Super Earth,2.19,Unknown,4 days,15.33502115,704.0723148,"['gravity', 'planet_type']"
K2-147 b,287,2.48,Super Earth,1.38,0.0159,1,12.78746032,1728.918889,"['gravity', 'planet_type']"
K2-148 b,395,2.33,Super Earth,1.33,0.0454,4.4,12.93431491,1121.968519,"['gravity', 'planet_type']"
K2-148 c,395,3.64,Super Earth,1.73,0.0616,6.9,11.94262976,970.7538379,"['gravity', 'planet_type']"
K2-148 d,395,3.33,Super Earth,1.64,0.0774,9.8,12.15758539,858.8006803,"['gravity', 'planet_type']"
K2-149 b,385,3.33,Super Earth,1.64,0.083,11.3,12.15758539,798.6879712,"['gravity', 'planet_type']"
K2-14 b,1200,20.7,Neptune-like,4.8048,0.0627 AU,8.4 days,8.804617771,811.6443122,['gravity']
K2-150 b,359,4.66,Super Earth,2,0.0727,10.6,11.43975482,745.7719427,"['gravity', 'planet_type']"
K2-151 b,227,2.83,Super Earth,1.49,0.0373,3.8,12.5171279,1067.339864,"['gravity', 'planet_type']"
K2-152 b,355,5.86,Neptune-like,2.2848,0.1716 AU,32.6 days,11.02280252,572.3704158,['gravity']
K2-153 b,468,4.66,Super Earth,2,0.0614,7.5,11.43975482,890.1938765,"['gravity', 'planet_type']"
K2-154 b,423,4.62,Super Earth,1.99,0.0405,3.7,11.45583142,1190.22973,"['gravity', 'planet_type']"
K2-154 c,423,4.94,Super Earth,2.07,0.0677,8,11.32079821,920.1871759,"['gravity', 'planet_type']"
K2-155 b,267,3.89,Super Earth,1.8,0.0562,6.3,11.78949988,970.0034098,"['gravity', 'planet_type']"
K2-155 c,267,7.27,Neptune-like,2.5984,0.0946 AU,13.9 days,10.57336408,740.0376765,['gravity']
K2-155 d,267,4.27,Super Earth,1.9,0.1937,40.7,11.61479274,517.5028028,"['gravity', 'planet_type']"
K2-156 b,491,1.6,Super Earth,1.15,0.0149,0.8,11.87996314,2025.227315,"['gravity', 'planet_type']"
K2-157 b,981,1.18,Super Earth,1.055,Unknown,0.4 days,10.41041109,4050.45463,"['gravity', 'planet_type']"
K2-158 b,647,7.46,Neptune-like,2.6432,0.0887 AU,10.1 days,10.48502734,954.9480381,['gravity']
K2-158 c,647,2.18,Super Earth,1.28,0.0622,5.9,13.06553945,1146.34639,"['gravity', 'planet_type']"
K2-159 b,561,5.73,Neptune-like,2.2624,0.1013 AU,12.4 days,10.99275703,888.3114397,['gravity']
K2-15 b,1634,6.71,Neptune-like,2.4752,0.091 AU,11.8 days,10.75456178,838.5652856,['gravity']
K2-160 b,1038,10.2,Neptune-like,3.1808,Unknown,3.7 days,9.899613461,2674.343343,['gravity']
K2-161 b,3070,31.1,Neptune-like,6.1152,Unknown,9.3 days,8.166384978,1063.986061,['gravity']
K2-155 c,267,7.27,Neptune-like,2.5984,0.0946 AU,13.9 days,10.57336408,740.0376765,['gravity']
K2-155 d,267,4.27,Super Earth,1.9,0.1937,40.7,11.61479274,517.5028028,"['gravity', 'planet_type']"
K2-156 b,491,1.6,Super Earth,1.15,0.0149,0.8,11.87996314,2025.227315,"['gravity', 'planet_type']"
K2-157 b,981,1.18,Super Earth,1.055,Unknown,0.4 days,10.41041109,4050.45463,"['gravity', 'planet_type']"
K2-158 b,647,7.46,Neptune-like,2.6432,0.0887 AU,10.1 days,10.48502734,954.9480381,['gravity']
K2-158 c,647,2.18,Super Earth,1.28,0.0622,5.9,13.06553945,1146.34639,"['gravity', 'planet_type']"
K2-159 b,561,5.73,Neptune-like,2.2624,0.1013 AU,12.4 days,10.99275703,888.3114397,['gravity']
K2-15 b,1634,6.71,Neptune-like,2.4752,0.091 AU,11.8 days,10.75456178,838.5652856,['gravity']
K2-160 b,1038,10.2,Neptune-like,3.1808,Unknown,3.7 days,9.899613461,2674.343343,['gravity']
K2-161 b,3070,31.1,Neptune-like,6.1152,Unknown,9.3 days,8.166384978,1063.986061,['gravity']
K2-16 b,1103,4.74,Super Earth,2.02,0.0667,7.6,11.40686742,954.310575,"['gravity', 'planet_type']"
K2-16 c,1103,6.99,Neptune-like,2.5424,0.1229 AU,19.1 days,10.61891653,699.6744425,['gravity']
K2-170 b,1296,2.6,Super Earth,1.418,Unknown,7.6 days,12.69730867,1758.392349,"['gravity', 'planet_type']"
K2-170 c,1296,3.9,Super Earth,1.802,Unknown,12.4 days,11.79358455,1077.724343,"['gravity', 'planet_type']"
K2-171 b,2011,7.69,Neptune-like,2.688,Unknown,5.6 days,10.45101816,2386.389616,['gravity']
K2-172 b,820,3.42,Super Earth,1.666,Unknown,14.3 days,12.09948549,934.5301994,"['gravity', 'planet_type']"
K2-172 c,820,10.4,Neptune-like,3.2032,Unknown,29.6 days,9.953046175,451.4791166,['gravity']
K2-173 b,751,3.22,Super Earth,1.608,Unknown,5.9 days,12.22853903,2265.047772,"['gravity', 'planet_type']"
K2-174 b,327,7.27,Neptune-like,2.5984,0.126 AU,19.6 days,10.57336408,699.0238095,['gravity']
K2-175 b,812,4.81,Super Earth,2.038,Unknown,9.5 days,11.37175536,1442.196491,"['gravity', 'planet_type']"
K2-176 b,812,2.83,Super Earth,1.491,Unknown,5.3 days,12.50034329,2585.069182,"['gravity', 'planet_type']"
K2-177 b,1628,5.13,Neptune-like,2.116,Unknown,14.2 days,11.25062967,964.8497653,['gravity']
K2-178 b,705,12.4,Neptune-like,3.5504,Unknown,8.7 days,9.659572504,1574.812261,['gravity']
K2-179 b,626,6.86,Neptune-like,2.5088,Unknown,5.2 days,10.70244057,2634.782051,['gravity']
K2-17 b,410,5.6,Neptune-like,2.23,0.119 AU,18 days,11.0578092,718.8726337,['gravity']
K2-180 b,667,5.95,Neptune-like,2.3072,0.0753 AU,8.9 days,10.97582745,919.9886392,['gravity']
K2-181 b,1190,8.45,Neptune-like,2.8336,0.0706 AU,6.9 days,10.33404653,1112.584756,['gravity']
K2-182 b,509,8.05,Neptune-like,2.7552,0.0529 AU,4.7 days,10.41310894,1223.870055,['gravity']
K2-183 b,1082,7.27,Neptune-like,2.5984,Unknown,0.5 days,10.57336408,11504.37852,['gravity']
K2-183 c,1082,8.6,Neptune-like,2.8672,0.0932 AU,10.8 days,10.2724318,938.3603567,['gravity']
K2-183 d,1082,8.55,Neptune-like,2.856,0.1527 AU,22.6 days,10.29296509,734.696706,['gravity']
K2-184 b,247,3.02,Super Earth,1.55,0.1229,17,12.34338678,786.1048148,"['gravity', 'planet_type']"
K2-185 b,882,2.28,Super Earth,1.313,Unknown,10.6 days,12.98662159,1260.734137,"['gravity', 'planet_type']"
K2-186 b,1089,10.2,Neptune-like,3.1696,Unknown,41.5 days,9.969699002,322.0188398,['gravity']
K2-187 b,1088,2.24,Super Earth,1.3,0.0164,0.8,13.01523772,2229.109259,"['gravity', 'planet_type']"
K2-187 c,1088,3.89,Super Earth,1.8,0.0392,2.9,11.78949988,1469.824777,"['gravity', 'planet_type']"
K2-187 d,1088,10.2,Neptune-like,3.1696,0.072 AU,7.1 days,9.969699002,1102.685446,['gravity']
K2-187 e,1088,6.26,Neptune-like,2.3744,0.1106 AU,13.6 days,10.90328482,884.287963,['gravity']
K2-188 b,1477,2.39,Super Earth,1.35,0.0289,1.7,12.87719153,1848.52963,"['gravity', 'planet_type']"
K2-188 c,1477,8.4,Neptune-like,2.8224,0.0785 AU,7.8 days,10.35459103,1094.340693,['gravity']
K2-189 b,796,2.92,Super Earth,1.52,0.0361,2.6,12.41041964,1509.771937,"['gravity', 'planet_type']"
K2-189 c,796,6.8,Neptune-like,2.4976,0.068 AU,6.7 days,10.70419304,1103.599779,['gravity']
K2-18 b,124,8.92,Super Earth,2.3632,0.1429,32.9,15.68392257,472.2955195,"['gravity', 'planet_type']"
K2-18 c,124,7.51,Neptune-like,2.6432,0.06 AU,9 days,10.55530233,724.9135802,['gravity']
K2-190 b,527,2.41,Super Earth,1.357,Unknown,10.1 days,12.85133186,645.9625963,"['gravity', 'planet_type']"
K2-190 c,527,1.34,Super Earth,1.093,Unknown,21.6 days,11.01425852,302.0473251,"['gravity', 'planet_type']"
K2-191 b,945,3.12,Super Earth,1.579,Unknown,2.9 days,12.28799781,2249.731801,"['gravity', 'planet_type']"
K2-192 b,731,2.92,Super Earth,1.52,0.049,4.2,12.41041964,1268.598765,"['gravity', 'planet_type']"
K2-193 b,1360,14.8,Neptune-like,3.9424,0.1184 AU,14.8 days,9.350420333,869.8962963,['gravity']
K2-194 b,2090,12.9,Neptune-like,3.64,Unknown,39.7 days,9.560436785,324.2938334,['gravity']
K2-195 b,1037,9.96,Neptune-like,3.1248,0.1208 AU,15.9 days,10.01626204,826.1279292,['gravity']
K2-195 c,1037,7.16,Neptune-like,2.576,Unknown,28.5 days,10.59527165,460.8924237,['gravity']
K2-196 b,1938,12.6,Neptune-like,3.5952,Unknown,48.3 days,9.572276307,271.9551568,['gravity']
K2-197 b,814,7.08,Neptune-like,2.5536,0.0806 AU,8.4 days,10.66149996,1043.35776,['gravity']
K2-198 b,362,16.3,Neptune-like,4.1888,Unknown,17 days,9.122190677,515.5414815,['gravity']
K2-198 c,362,2.61,Super Earth,1.423,Unknown,3.4 days,12.6567295,2577.707407,"['gravity', 'planet_type']"
K2-198 d,362,6.52,Neptune-like,2.4416,Unknown,7.5 days,10.73963087,1168.560691,['gravity']
K2-199 b,352,4.16,Super Earth,1.87,0.0385,3.2,11.68156174,1308.242477,"['gravity', 'planet_type']"
K2-199 c,352,8.15,Neptune-like,2.7776,0.0668 AU,7.4 days,10.37311023,981.5721722,['gravity']
K2-19 b,953,28.5,Neptune-like,7.7392,0.074 AU,7.9 days,4.672437611,1018.549461,['gravity']
K2-19 c,953,15.9,Neptune-like,4.8608,0.0971 AU,11.9 days,6.608036165,887.257672,['gravity']
K2-19 d,953,14,Super Earth,1.14,0.0344 AU,2.5 days,105.7813546,1496.22163,['planet_type']
K2-200 b,604,2.43,Super Earth,1.364,Unknown,2.8 days,12.82532338,1335.912169,"['gravity', 'planet_type']"
K2-201 b,649,2.54,Super Earth,1.4,Unknown,1.1 days,12.72531192,3400.503704,"['gravity', 'planet_type']"
K2-201 c,649,10.8,Neptune-like,3.2816,Unknown,22.8 days,9.847891626,164.0593892,"['gravity', 'speed']"
K2-202 b,988,5.91,Neptune-like,2.296,Unknown,3.4 days,11.00866116,1100.162963,['gravity']
K2-203 b,545,2.45,Super Earth,1.371,Unknown,9.7 days,12.79917467,385.6241313,"['gravity', 'planet_type']"
K2-204 b,1914,9.51,Neptune-like,3.0464,Unknown,7.1 days,10.06230448,526.838602,['gravity']
K2-205 b,1337,4.64,Super Earth,1.996,Unknown,26.7 days,11.43635684,140.0956582,"['gravity', 'planet_type', 'speed']"
K2-206 b,803,8.22,Neptune-like,2.7888,Unknown,18.3 days,10.3783394,204.401862,['gravity']
K2-207 b,1197,7.3,Neptune-like,2.5984,Unknown,12.5 days,10.61699557,299.2443259,['gravity']
K2-208 b,844,3.46,Super Earth,1.679,Unknown,4.2 days,12.0521769,890.6081129,"['gravity', 'planet_type']"
K2-209 b,250,0.586,Terrestrial,0.869,Unknown,2.1 days,7.619892674,1781.216226,"['gravity', 'planet_type']"
K2-210 b,579,0.474,Terrestrial,0.819,Unknown,0.6 days,6.939070971,6234.25679,"['gravity', 'planet_type']"
K2-211 b,895,2.46,Super Earth,1.375,Unknown,0.7 days,12.77675308,5343.648677,"['gravity', 'planet_type']"
K2-212 b,357,6.9,Neptune-like,2.52,0.0785 AU,9.8 days,10.66937059,871.0058579,['gravity']
K2-213 b,1285,2.9,Super Earth,1.514,Unknown,8.1 days,12.42330189,1053.809556,"['gravity', 'planet_type']"
K2-214 b,989,6.48,Neptune-like,2.4304,0.0834 AU,8.6 days,10.77234575,1054.496382,['gravity']
K2-215 b,1333,5.16,Neptune-like,2.124,Unknown,8.3 days,11.23133724,1092.61071,['gravity']
K2-216 b,378,8,Super Earth,1.75,0.028,2.2,25.65102245,1383.925926,"['gravity', 'planet_type']"
K2-217 b,1259,12.5,Neptune-like,3.5728,Unknown,14.1 days,9.615755074,215.9317048,['gravity']
K2-218 b,1300,7.13,Neptune-like,2.5648,Unknown,8.7 days,10.64322666,349.9582801,['gravity']
K2-219 b,1071,2.38,Super Earth,1.348,Unknown,3.9 days,12.86139166,780.6761633,"['gravity', 'planet_type']"
K2-219 c,1071,2.66,Super Earth,1.438,Unknown,6.7 days,12.63149213,454.4234384,"['gravity', 'planet_type']"
K2-219 d,1071,7.16,Neptune-like,2.576,Unknown,11.1 days,10.59527165,274.291625,['gravity']
K2-21 b,274,4.04,Neptune-like,1.84,0.076 AU,9.3 days,11.71754177,888.6037435,['gravity']
K2-21 c,274,6.76,Super Earth,2.4864,0.107,15.5,10.73731002,750.6363202,"['gravity', 'planet_type']"
K2-220 b,766,6.3,Neptune-like,2.3856,0.1104 AU,13.7 days,10.8701638,876.2459043,['gravity']
K2-221 b,1049,3.46,Super Earth,1.679,Unknown,2.4 days,12.0521769,5001.903704,"['gravity', 'planet_type']"
K2-222 b,331,6.3,Neptune-like,2.3856,0.1211 AU,15.4 days,10.8701638,855.0685185,['gravity']
K2-223 b,656,0.64,Terrestrial,0.89,0.0127,0.5,7.933973616,2761.920741,"['gravity', 'planet_type']"
K2-223 c,656,3.09,Super Earth,1.57,0.0549,4.6,12.30977077,1297.752899,"['gravity', 'planet_type']"
K2-224 b,906,3.05,Super Earth,1.56,0.0516,4.5,12.3066949,1246.851358,"['gravity', 'planet_type']"
K2-224 c,906,6.39,Neptune-like,2.408,0.0886 AU,10.1 days,10.82128124,953.8714338,['gravity']
K2-225 b,1175,12,Neptune-like,3.4832,0.134 AU,15.9 days,9.712146256,916.4001863,['gravity']
K2-226 b,689,2.99,Super Earth,1.54,0.0413,3.3,12.37999695,1360.860494,"['gravity', 'planet_type']"
K2-227 b,614,3.41,Super Earth,1.666,Unknown,13.6 days,12.06410688,330.2087963,"['gravity', 'planet_type']"
K2-228 b,465,1.92,Super Earth,1.21,0.0338,2.7,12.87719521,1361.226612,"['gravity', 'planet_type']"
K2-229 b,339,2.49,Super Earth,1.14,0.0131,0.6,18.8139695,2374.091975,"['gravity', 'planet_type']"
K2-229 c,339,21.3,Super Earth,2.03,0.0769,8.3,50.75494001,1007.455199,"['gravity', 'planet_type']"
K2-223 b,656,0.64,Terrestrial,0.89,0.0127,0.5,7.933973616,2761.920741,"['gravity', 'planet_type']"
K2-223 c,656,3.09,Super Earth,1.57,0.0549,4.6,12.30977077,1297.752899,"['gravity', 'planet_type']"
K2-224 b,906,3.05,Super Earth,1.56,0.0516,4.5,12.3066949,1246.851358,"['gravity', 'planet_type']"
K2-224 c,906,6.39,Neptune-like,2.408,0.0886 AU,10.1 days,10.82128124,953.8714338,['gravity']
K2-225 b,1175,12,Neptune-like,3.4832,0.134 AU,15.9 days,9.712146256,916.4001863,['gravity']
K2-226 b,689,2.99,Super Earth,1.54,0.0413,3.3,12.37999695,1360.860494,"['gravity', 'planet_type']"
K2-227 b,614,3.41,Super Earth,1.666,Unknown,13.6 days,12.06410688,330.2087963,"['gravity', 'planet_type']"
K2-228 b,465,1.92,Super Earth,1.21,0.0338,2.7,12.87719521,1361.226612,"['gravity', 'planet_type']"
K2-229 b,339,2.49,Super Earth,1.14,0.0131,0.6,18.8139695,2374.091975,"['gravity', 'planet_type']"
K2-229 c,339,21.3,Super Earth,2.03,0.0769,8.3,50.75494001,1007.455199,"['gravity', 'planet_type']"
K2-239 c,160,0.972,Terrestrial,1,0.0576,7.8,9.544585136,802.9811966,"['gravity', 'planet_type']"
K2-239 d,160,1.37,Super Earth,1.1,0.0685,10.1,11.11798255,737.4739641,"['gravity', 'planet_type']"
K2-240 b,228,4.66,Super Earth,2,0.0513,6,11.43975482,929.7016667,"['gravity', 'planet_type']"
K2-240 c,228,3.89,Super Earth,1.8,0.1159,20.5,11.78949988,614.7620777,"['gravity', 'planet_type']"
K2-241 b,488,7.04,Neptune-like,2.5424,0.1567 AU,26.8 days,10.69487445,635.7870785,['gravity']
K2-242 b,358,6.99,Neptune-like,2.5424,0.0494 AU,6.5 days,10.61891653,826.4014815,['gravity']
K2-243 b,878,5.35,Neptune-like,2.17,0.1087 AU,11.5 days,11.15642642,1027.801385,['gravity']
K2-243 c,878,4.7,Super Earth,2.01,0.1817,24.9,11.42343025,793.4746839,"['gravity', 'planet_type']"
K2-244 b,698,3.71,Super Earth,1.75,0.1418,21.1,11.89566166,730.7541162,"['gravity', 'planet_type']"
